순번,road_address,도로종류,도로기능,도로규모,도로폭,시도구도구분
1,가로공원로,일반도로,국지도로,중로1류,폭20-25m,구도
2,가리봉~독산선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
3,가리봉~신길선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
4,가마산로,일반도로,국지도로,중로2류,폭15-20m,구도
5,가산디지털1로,일반도로,국지도로,중로1류,폭20-25m,구도
6,가양~현저선,일반도로,주간선도로,대로1류,폭35-40m,특별시도
7,가양대로,일반도로,국지도로,광로3류,폭40-50m,구도
8,가재울미래로,일반도로,국지도로,중로2류,폭15-20m,구도
9,갈월~동자동선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
10,갈현~적선선,일반도로,주간선도로,대로2류,폭30-35m,특별시도
11,감일남로,일반도로,국지도로,대로2류,폭30-35m,구도
12,감초로,일반도로,국지도로,대로2류,폭30-35m,구도
13,강남대로,일반도로,국지도로,대로3류,폭25-30m,구도
14,강남대로61길,일반도로,국지도로,중로1류,폭20-25m,구도
15,강남순환로,자동차전용도로,도시고속도로,대로3류,폭25-30m,특별시도
16,강남순환로,일반도로,국지도로,대로2류,폭30-35m,구도
17,강동대로,일반도로,국지도로,대로1류,폭35-40m,구도
18,강변북로,자동차전용도로,도시고속도로,중로1류,폭20-25m,특별시도
19,강변북로,일반도로,국지도로,대로3류,폭25-30m,구도
20,강변역로,일반도로,국지도로,대로1류,폭35-40m,구도
21,강변역로4길,일반도로,국지도로,대로3류,폭25-30m,구도
22,강서로,일반도로,국지도로,중로2류,폭15-20m,구도
23,강서로56길,일반도로,국지도로,중로2류,폭15-20m,구도
24,개봉로12길,일반도로,국지도로,중로1류,폭20-25m,구도
25,개봉선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
26,개포로,일반도로,국지도로,중로2류,폭15-20m,구도
27,개포로124길,일반도로,국지도로,중로2류,폭15-20m,구도
28,개포로88길,일반도로,국지도로,중로2류,폭15-20m,구도
29,거마로,일반도로,국지도로,중로2류,폭15-20m,구도
30,경부간선,자동차전용도로,도시고속도로,광로3류,폭40-50m,특별시도
31,경부고속도로,일반도로,기타,광로2류,폭50-70m,고속국도
32,경인고속도로,일반도로,기타,광로2류,폭50-70m,고속국도
33,경인로,일반도로,국지도로,중로1류,폭20-25m,구도
34,경인로61길,일반도로,국지도로,중로2류,폭15-20m,구도
35,경인로65길,일반도로,국지도로,중로2류,폭15-20m,구도
36,경인지하도로,일반도로,도시고속도로,중로2류,폭15-20m,특별시도
37,고덕로62길,일반도로,국지도로,중로2류,폭15-20m,구도
38,고덕로80길,일반도로,국지도로,중로1류,폭20-25m,구도
39,고덕로97길,일반도로,국지도로,중로1류,폭20-25m,구도
40,고덕로98길,일반도로,국지도로,중로2류,폭15-20m,구도
41,고려대로,일반도로,국지도로,중로2류,폭15-20m,구도
42,고무래로,일반도로,국지도로,중로2류,폭15-20m,구도
43,고산자로,일반도로,국지도로,중로1류,폭20-25m,구도
44,고산자로10길,일반도로,국지도로,중로2류,폭15-20m,구도
45,고척~가양선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
46,공덕~봉래선,일반도로,주간선도로,대로2류,폭30-35m,특별시도
47,공릉~우이선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
48,공원로,일반도로,국지도로,중로1류,폭20-25m,구도
49,공원로6가길,일반도로,국지도로,중로2류,폭15-20m,구도
50,공원로6길,일반도로,국지도로,대로3류,폭25-30m,구도
51,공항~발산선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
52,공항대로,일반도로,국지도로,중로1류,폭20-25m,구도
53,과천대로,일반도로,국지도로,대로3류,폭25-30m,구도
54,과해~삼성선,일반도로,주간선도로,광로3류,폭40-50m,특별시도
55,관악로,일반도로,국지도로,중로2류,폭15-20m,구도
56,관악로40길,일반도로,국지도로,중로2류,폭15-20m,구도
57,광나루로,일반도로,국지도로,중로1류,폭20-25m,구도
58,광나루로56길,일반도로,국지도로,대로1류,폭35-40m,구도
59,광남로,일반도로,국지도로,중로2류,폭15-20m,구도
60,광명~시흥선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
61,광명~오류동길,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
